รหัสนักศึกษา,ชื่อ,อายุ,เพศ,คณะ,GPA,ส่วนสูง_cm,น้ำหนัก_kg,ชั่วโมงเรียน_ต่อสัปดาห์,วันที่ลงทะเบียน
64001,สมชาย,20.0,ชาย,วิทยาศาสตร์,3.21,170.0,65.0,15.0,2024-01-23
64002,สมหญิง,21.0,หญิง,วิทย์,3.45,165.0,58.0,20.0,2024-02-05
64003,,,Male,Science,3.67,175.0,,25.0,2024-01-13
64004,สมศักดิ์,22.0,ช,คณะวิทยาศาสตร์,-1.0,168.0,70.0,10.0,2023-12-30
64005,สมใจ,19.0,ญ,วิศวะ,3.89,160.0,52.0,30.0,2024-01-27
64006,กานต์,150.0,ชาย,Engineering,3.12,172.0,75.0,12.0,2023-12-23
64007,กิตติ,21.0,หญิง,วิศวกรรม,4.5,158.0,48.0,35.0,2024-01-05
64008,จิรา,20.0,F,ศิลปศาสตร์,2.98,180.0,82.0,18.0,2024-01-23
64009,ชนาธิป,23.0,M,Arts,3.34,163.0,55.0,22.0,2024-02-11
64010,ดารา,21.0,หญิง,ศิลป์,3.56,167.0,60.0,28.0,2024-01-03
64011,ธีระ,,,,3.78,,68.0,,2024-01-07
64012,นภา,22.0,ชาย,วิทย์,,171.0,,16.0,2023-12-26
64013,บุญมี,20.0,หญิง,วิศวฯ,3.23,169.0,72.0,24.0,2023-12-26
64014,ปรีชา,21.0,ชาย,Liberal Arts,3.45,164.0,54.0,19.0,2024-01-08
64015,พิมพ์,22.0,Female,Sci,3.67,162.0,56.0,26.0,2024-02-06
64016,ภูมิ,19.0,ช,วิทยาศาสตร์,3.89,173.0,78.0,14.0,2024-01-20
64017,มานี,20.0,ญ,วิศวกรรมศาสตร์,3.01,166.0,62.0,21.0,2024-01-24
64018,ยุพา,21.0,หญิง,,3.23,161.0,50.0,27.0,2024-01-08
64019,รัตนา,,ชาย,ศิลปศาสตร์,,174.0,76.0,,2023-12-18
64020,ลัดดา,22.0,,Science,3.45,168.0,64.0,23.0,2024-01-06
